date,close,high,low,open,volume,ticker,daily_return,price_range,avg_price
2021-04-15,2829.7041015625,2845.791249238992,2714.1055073004172,2778.1463352921887,6062760,TCS.NS,3.7015948285503475,131.68574193857467,2779.9483782697043
2021-04-16,2808.783203125,2854.3634381150505,2797.7509568498276,2838.5400497916535,3224657,TCS.NS,-0.7393316646057801,56.61248126522287,2826.057197482439
2021-04-19,2779.4658203125,2803.3766728107203,2755.9945063330647,2785.7951320593206,2679106,TCS.NS,-1.0437752112687826,47.38216647765557,2779.6855895718927
2021-04-20,2764.30126953125,2835.330724965426,2748.302113102314,2835.0229622074467,3141893,TCS.NS,-0.5455922742574004,87.02861186311202,2791.81641903387
2021-04-22,2741.6650390625,2767.334041248242,2729.753504315789,2767.334041248242,1988980,TCS.NS,-0.8188771143815443,37.580536932453015,2748.5437727820154
2021-04-23,2733.489990234375,2741.8412219138177,2717.2710621595616,2729.534143649376,1615309,TCS.NS,-0.29817824977337315,24.57015975425611,2729.5561420366894
2021-04-26,2725.84130859375,2771.729073354541,2714.633079705304,2726.940154563206,2490260,TCS.NS,-0.27981377901329374,57.09599364923679,2743.1810765299224
2021-04-27,2753.268798828125,2756.873099897442,2727.775569209346,2730.4127998595645,1471417,TCS.NS,1.0062027509783578,29.097530688095958,2742.324334553394
2021-04-28,2746.324462890625,2769.9715476659917,2735.6875456479106,2769.0484739187477,1639037,TCS.NS,-0.25222150269003096,34.28400201808108,2752.829546656951
2021-04-29,2738.544189453125,2775.5534111245584,2729.9731900639367,2765.224258014511,1621395,TCS.NS,-0.28329767813781714,45.580221060621625,2752.7633005942475
2021-04-30,2668.56982421875,2753.312969915444,2654.8123559697738,2724.2594341557383,3072305,TCS.NS,-2.5551665554225944,98.50061394567001,2704.0626629426088
2021-05-03,2669.7568359375,2685.5802218600797,2640.7472950794368,2659.1199184421807,1545831,TCS.NS,0.04448119393305472,44.83292678064299,2663.1637584697582
2021-05-04,2680.96533203125,2716.3481845976103,2667.9989450659377,2692.437330880178,1990777,TCS.NS,0.41983209642439956,48.34923953167254,2692.173564831774
2021-05-05,2721.358154296875,2724.6106957094466,2683.294083870649,2698.765922236356,1939289,TCS.NS,1.506652166778344,41.3166118387976,2703.952389790048
2021-05-06,2735.2041015625,2755.027330929211,2702.282710681683,2729.9736363116353,1791671,TCS.NS,0.5087881300652297,52.74462024752802,2728.655020805447
2021-05-07,2754.060302734375,2777.7516000546525,2735.5119064331016,2754.148296283505,1912540,TCS.NS,0.6893891816374342,42.23969362155094,2756.631753243877
2021-05-10,2765.136474609375,2781.575170224942,2747.115397601112,2765.5320163029514,2137153,TCS.NS,0.402176083944239,34.459772623830304,2764.345283913027
2021-05-11,2745.005615234375,2749.8405381869234,2717.358475020094,2747.1153139481335,2415625,TCS.NS,-0.7280240798184789,32.48206316682945,2733.5995066035084
2021-05-12,2714.23828125,2742.720290729441,2699.2939719735896,2742.720290729441,1978558,TCS.NS,-1.1208477612439371,43.4263187558513,2721.0071313515155
2021-05-14,2682.50341796875,2723.8200362366615,2672.3940326478782,2723.8200362366615,2043935,TCS.NS,-1.169199605667448,51.42600358878326,2698.1070344422697
2021-05-17,2698.5458984375,2703.336823881444,2668.8770576288784,2685.579516158177,2890462,TCS.NS,0.5980413803497564,34.459766252565714,2686.1069407551613
2021-05-18,2715.293212890625,2746.2366818753967,2705.79913790412,2725.1388328469043,2098538,TCS.NS,0.6206051363744525,40.43754397127668,2726.0179098897584
2021-05-19,2709.31494140625,2740.961709054084,2696.216781754915,2711.073095164463,1986041,TCS.NS,-0.22017038366219932,44.744927299169376,2718.5892454044997
2021-05-20,2689.97509765625,2715.292553263747,2683.030476552131,2696.2166289916227,2329027,TCS.NS,-0.7138278187755365,32.26207671161592,2699.161514907939
2021-05-21,2707.99658203125,2714.7654317164456,2685.6681130389425,2690.8545812685134,1685566,TCS.NS,0.6699498590415187,29.097318677503154,2700.216772377694
2021-05-24,2708.8759765625,2729.534287595834,2700.5247444426413,2708.8759765625,1652260,TCS.NS,0.03247398970460669,29.00954315319268,2715.0295160192377
2021-05-25,2750.8359375,2763.4240595646675,2722.656297882168,2731.401643786127,1841613,TCS.NS,1.5489805107558485,40.76776168249944,2743.0401787234177
2021-05-26,2790.14697265625,2795.8889246341714,2741.8262814526242,2756.136949402406,1923753,TCS.NS,1.429057786411514,54.06264318154717,2768.857603043398
2021-05-27,2809.13916015625,2842.4866454694256,2793.061740172022,2793.194160468886,5959785,TCS.NS,0.6806877087883079,49.42490529740371,2817.774192820724
2021-05-28,2776.984130859375,2825.0397552505065,2769.961110903209,2817.5310504601284,1763701,TCS.NS,-1.1446577568299032,55.07864434729754,2797.500433076858
2021-05-31,2790.72119140625,2800.615189276783,2763.7341885826495,2782.638375725026,1652799,TCS.NS,0.4946755148587778,36.88100069413349,2782.1746889297165
2021-06-01,2785.287353515625,2800.2605487714864,2766.7364386967765,2799.0681193626156,1377441,TCS.NS,-0.1947108836009126,33.524110074709824,2783.4984937341314
2021-06-02,2764.483642578125,2790.984948101892,2751.7188902178127,2783.3880365859845,2240078,TCS.NS,-0.7469143501923181,39.266057884079146,2771.3519191598525
2021-06-03,2774.908203125,2786.657161213381,2758.4773034623645,2786.657161213381,1281706,TCS.NS,0.3770888851110321,28.179857751016698,2772.567232337873
2021-06-04,2777.116455078125,2788.6887800926147,2760.5531362605616,2763.2032672713717,1836060,TCS.NS,0.07957927943844645,28.13564383205312,2774.620958176588
2021-06-07,2811.96533203125,2818.369814617938,2768.149966770133,2778.220377259856,2559821,TCS.NS,1.2548583221780873,50.21984784780534,2793.2598906940357
2021-06-08,2826.939208984375,2854.1914794488234,2815.4995183950705,2825.0400344405252,2574057,TCS.NS,0.5325057454498738,38.69196105375295,2834.845498921947
2021-06-09,2827.02734375,2844.474040114054,2814.615853329523,2828.57325355441,1710925,TCS.NS,0.0031176745981964515,29.85818678453097,2829.5449467217886
2021-06-10,2841.64697265625,2848.007243465834,2820.622558432509,2835.63996635401,1874324,TCS.NS,0.517137867045081,27.38468503332524,2834.3149009491717
2021-06-11,2891.99951171875,2923.0943373291366,2836.523395939516,2837.0092963972816,3452954,TCS.NS,1.7719491388978659,86.57094138962066,2879.8088666343265
2021-06-14,2894.252197265625,2922.8293126007034,2888.951935490787,2896.593059948897,1847360,TCS.NS,0.07789370426056763,33.877377109916324,2905.8906240457454
2021-06-15,2882.23876953125,2913.3778137810323,2872.3449886763165,2913.3778137810323,1304985,TCS.NS,-0.4150788153750029,41.03282510471581,2892.8614012286744
2021-06-16,2892.485595703125,2910.4621884354497,2873.62541029358,2881.6642273428124,1635552,TCS.NS,0.35551621469380734,36.83677814186967,2892.0437993645146
