date,close,high,low,open,volume,ticker,daily_return,price_range,avg_price,RSI,MACD,MACD_Signal,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,BB_Width,BB_Pct,MA7,MA20,MA50,MA200,EMA12,EMA26,Price_MA20_ratio,Price_MA50_ratio,ATR,Volume_MA20,Volume_ratio,Momentum_10,ROC_10,Close_lag_1,Close_lag_2,Close_lag_3,Close_lag_5,Close_lag_10,Target,Target_Return
2022-02-01,3377.11328125,3383.6442991156814,3320.0231693229566,3349.878941088792,2105169,TCS.NS,1.7236382478331258,63.62112979272479,3351.833734219319,42.70670358111298,7.225087792540307,30.855721101667594,-23.630633309127287,3414.5192016601563,3579.243401337686,3249.7950019826267,329.44839935505934,0.38645894020616406,3332.228759765625,3414.5192016601563,3284.670439453125,3081.966008300781,3366.1702787390996,3358.9451909465593,0.9890450402528211,1.0281437189821292,80.79988484427018,3304552.35,0.6370511878863108,-187.886962890625,-5.270321178783444,3319.890380859375,3278.839111328125,3242.58544921875,3351.0791015625,3565.000244140625,3426.4736328125,0.014616137349182878
2022-02-02,3426.4736328125,3433.4044616031847,3377.11395747897,3401.327278280908,1984212,TCS.NS,1.4616137349182878,56.29050412421475,3405.2592095410773,50.20678944177025,11.500420075871261,26.98466089650833,-15.48424082063707,3413.553515625,3577.7314386363423,3249.3755926136573,328.355846022685,0.539347912772071,3335.1102469308034,3413.553515625,3291.7438623046874,3084.949855957031,3375.447717827315,3363.947297751444,1.0037849464285122,1.0409296033177633,78.9632961436108,3279332.65,0.6050657898337944,-113.202880859375,-3.198113737855224,3377.11328125,3319.890380859375,3278.839111328125,3349.790771484375,3539.676513671875,3398.394775390625,-0.00819468072159879
2022-02-03,3398.394775390625,3449.842435432575,3390.7975258678207,3421.8527286158005,1960538,TCS.NS,-0.819468072159879,59.04490956475411,3420.319980650198,45.48697154153766,12.479071613763153,24.083543039959295,-11.604471426196142,3412.2394409179688,3576.4632229798303,3248.015658856107,328.44756412372317,0.45784817109458426,3341.86962890625,3412.2394409179688,3298.6273779296876,3087.8979138183595,3378.9780343755165,3366.4989627617533,0.9959426453603094,1.0302451250263842,78.99920196392895,3290708.0,0.5957799962804357,-80.014892578125,-2.3003297545700074,3426.4736328125,3377.11328125,3319.890380859375,3242.58544921875,3478.40966796875,3389.77587890625,-0.002536166941753959
2022-02-04,3389.77587890625,3398.4838319273167,3348.990960352186,3390.13143394976,2307366,TCS.NS,-0.2536166941753959,49.49287157513072,3373.737396139752,39.178394919703706,12.416062453941777,21.750046922755793,-9.333984468814016,3412.8671752929686,3576.622668980042,3249.1116816058952,327.5109873741467,0.4294945901758734,3347.581787109375,3412.8671752929686,3305.2923828125,3090.9494641113283,3380.6392412263986,3368.223178772457,0.9932340477373731,1.0255600674037382,75.12476340506653,3315561.65,0.6959201015007518,-10.351806640625,-0.30445346757499436,3398.394775390625,3426.4736328125,3377.11328125,3278.839111328125,3400.127685546875,3357.87646484375,-0.009410478805104039
2022-02-07,3357.87646484375,3404.7925911476827,3337.5727323379806,3368.539210961275,1919149,TCS.NS,-0.941047880510404,67.21985880970215,3371.1826617428314,32.36497669184216,9.680520110589441,19.336141560322524,-9.655621449733083,3409.8575927734373,3575.413193137093,3244.3019924097816,331.11120072731137,0.34301005880952756,3364.051932198661,3409.8575927734373,3311.3025537109374,3093.917340087891,3377.137275629068,3367.4567555184785,0.9847556308392903,1.0140651330941106,74.81324307498247,3288489.55,0.5835958943521654,-48.4267578125,-1.4216807678893773,3389.77587890625,3398.394775390625,3426.4736328125,3319.890380859375,3406.30322265625,3326.28759765625,-0.00940739408320368
2022-02-08,3326.28759765625,3376.2692134942267,3306.339422810846,3369.0275194842293,2946443,TCS.NS,-0.940739408320368,69.92979068338082,3341.3043181525363,32.02333319484683,4.907059979209862,16.450325244099993,-11.543265264890131,3404.0999389648437,3573.006366740261,3235.1935111894263,337.8128555508347,0.26965843652778243,3370.8302873883927,3404.0999389648437,3315.702568359375,3096.840452880859,3369.3142482486346,3364.4071882694248,0.9771415814154223,1.0031923940940555,75.89907979104831,3238957.1,0.9096888007562681,-24.79150390625,-0.7398065863229109,3357.87646484375,3389.77587890625,3398.394775390625,3377.11328125,3351.0791015625,3341.482666015625,0.0045681763567533284
2022-02-09,3341.482666015625,3356.9435617136155,3328.642985453299,3332.1082913026003,1638721,TCS.NS,0.4568176356753328,28.30057626031657,3342.793273583457,37.493985059311,2.323390856749029,13.624938366629802,-11.301547509880773,3397.503210449219,3565.312789248002,3229.6936316504357,335.6191575975663,0.3330829955161056,3373.9148995535716,3397.503210449219,3319.9248388671876,3099.8804162597658,3365.0324663666333,3362.7090755098843,0.98351126078077,1.0064934684352052,71.64671604371117,3225587.85,0.5080379379529223,-8.30810546875,-0.248018638640779,3326.28759765625,3357.87646484375,3389.77587890625,3426.4736328125,3349.790771484375,3350.1904296875,0.0026059580558166484
2022-02-10,3350.1904296875,3367.4729203279344,3339.216600228163,3367.4729203279344,2112459,TCS.NS,0.2605958055816648,28.25632009977153,3353.344760278049,44.77502060176044,0.9673076963749736,11.093412232578839,-10.126104536203865,3393.8255126953127,3562.4357145328113,3225.215310857814,337.2204036749972,0.3706036688993859,3370.068777901786,3393.8255126953127,3323.45822265625,3103.0021618652345,3362.749076108305,3361.78176841193,0.9871428030567315,1.008043491219181,66.74693329801403,3171023.6,0.6661757421168357,107.60498046875,3.3184932873449924,3341.482666015625,3326.28759765625,3357.87646484375,3398.394775390625,3242.58544921875,3283.1923828125,-0.019998280181717787
2022-02-11,3283.1923828125,3334.3291734158643,3278.794043945247,3334.3291734158643,3851488,TCS.NS,-1.999828018171779,55.53512947061745,3306.561608680556,38.57318831843936,-5.450747609574137,7.784580264148244,-13.23532787372238,3385.11259765625,3557.838653999048,3212.3865413134517,345.45211268559615,0.20496572143847408,3349.600027901786,3385.11259765625,3324.496767578125,3105.651779785156,3350.5095848320275,3355.9603324416016,0.9698916322859346,0.9875757482550614,66.74061897882851,3029372.65,1.2713813865058827,4.353271484375,0.13276868234659567,3350.1904296875,3341.482666015625,3326.28759765625,3389.77587890625,3278.839111328125,3317.668701171875,0.010500852322836263
2022-02-14,3317.668701171875,3370.5381454891767,3296.5653515494223,3309.0052208005523,5951745,TCS.NS,1.0500852322836265,73.97279393975441,3333.5517485192995,46.774715850036515,-7.666774118506964,4.694309387617203,-12.361083506124167,3375.0078979492187,3537.9343012984586,3212.0814945999787,325.85280669848,0.3240334420982873,3338.0677315848216,3375.0078979492187,3326.2683056640626,3108.5085009765626,3345.4571411920037,3353.1239153105107,0.9830106481196133,0.997414638958155,66.0266152876188,3159553.75,1.8837296247927418,-2.2216796875,-0.06692027243757614,3283.1923828125,3350.1904296875,3341.482666015625,3357.87646484375,3319.890380859375,3392.35302734375,0.02251108621710629
2022-02-15,3392.35302734375,3407.636254773637,3330.3313384332705,3364.096704191132,3931683,TCS.NS,2.251108621710629,77.30491634036662,3368.983796603454,53.59879081784526,-3.357882553464151,3.0838709994009323,-6.441753552865084,3366.375537109375,3503.1059442642686,3229.645129954481,273.46081430978757,0.5949952932011195,3338.4358956473216,3366.375537109375,3331.3793798828124,3111.7775451660154,3352.671892907657,3356.029775461121,1.007716753507745,1.018302823097585,66.91839871967629,3184007.7,1.23482207659234,15.23974609375,0.4512654691911644,3317.668701171875,3283.1923828125,3350.1904296875,3326.28759765625,3377.11328125,3388.1767578125,-0.0012310834095353718
2022-02-16,3388.1767578125,3424.607809584704,3381.867879146584,3415.633244203749,3256906,TCS.NS,-0.1231083409535371,42.73993043812016,3403.2378443656444,64.9076108205183,-0.2768535969807999,2.4117260801245863,-2.6885796771053863,3358.8005493164064,3469.3938546138243,3248.2072440189886,221.18661059483566,0.6328118750818249,3342.7645089285716,3358.8005493164064,3335.5536376953123,3115.3755798339844,3358.1341798160943,3358.411033413075,1.0087460413515987,1.015776427493922,60.78096435319354,3227400.95,1.0091420466366288,-38.296875,-1.1176760455198775,3392.35302734375,3317.668701171875,3283.1923828125,3341.482666015625,3426.4736328125,3362.497314453125,-0.007579133320055664
2022-02-17,3362.497314453125,3407.636321366795,3357.8768340143724,3398.750698625291,3134372,TCS.NS,-0.7579133320055664,49.75948735242264,3382.756577690584,58.75566098770757,0.09171040119144891,1.9477229443379591,-1.8560125431465102,3353.004931640625,3448.296414898101,3257.7134483831487,190.5829665149522,0.5498070891962712,3347.937325613839,3353.004931640625,3338.4621240234374,3118.8392822265623,3358.8054312987147,3358.713720897523,1.0028310077098084,1.0071994797415047,59.01653069882501,3228992.6,0.9706965571862878,-35.8974609375,-1.0563063831621422,3388.1767578125,3392.35302734375,3317.668701171875,3350.1904296875,3398.394775390625,3371.11572265625,0.0025630974234776005
2022-02-18,3371.11572265625,3390.7085606865603,3338.8610914163,3348.990612757656,3688883,TCS.NS,0.25630974234776,51.84746927026072,3364.78482605143,55.75171507849091,1.0669345823312142,1.7715652719366104,-0.7046306896053962,3351.554333496094,3444.6842137456524,3258.4244532465354,186.25976049911696,0.6050220890853599,3352.1706194196427,3351.554333496094,3341.989140625,3122.2900341796876,3360.699322276797,3359.6323876944657,1.0058365126188336,1.008715343110242,58.40724303436361,3104597.95,1.188199908461577,-18.66015625,-0.5504834808141013,3362.497314453125,3388.1767578125,3392.35302734375,3283.1923828125,3389.77587890625,3304.91845703125,-0.019636604338471142
2022-02-21,3304.91845703125,3401.238738331293,3292.61199961533,3385.4222863625064,7465922,TCS.NS,-1.9636604338471144,108.62673871596236,3346.9253689733114,42.05391653159409,-3.4618532410754597,0.7248815693341963,-4.186734810409656,3346.4850952148436,3438.0919208649157,3254.8782695647715,183.2136513001442,0.2731247759726251,3345.703194754464,3346.4850952148436,3343.5704150390625,3125.2078356933594,3352.1176507005594,3355.579503941635,0.9875790158925166,0.9884399150578795,61.61244449576764,3322276.15,2.247231013592895,-52.9580078125,-1.5771279368660185,3371.11572265625,3362.497314453125,3388.1767578125,3317.668701171875,3357.87646484375,3186.739501953125,-0.0357585086030483
